Temp: 25.85 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 25.74 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 25.74 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 25.78 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 25.76 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 25.63 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 25.80 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 25.54 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 25.85 C | Vazao: 0.07 L/min | Cooler: 0% | Resistencia: ON
Temp: 25.65 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 25.89 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 25.89 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 25.92 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 25.96 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 26.03 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 26.11 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 25.94 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 26.16 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 26.05 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 26.38 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 26.34 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 26.36 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 26.40 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 26.51 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 26.69 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 26.74 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 26.76 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 27.07 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 27.23 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 27.32 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 27.27 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 27.47 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 27.72 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 27.72 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 27.77 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 28.13 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 28.13 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 28.22 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 28.33 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 28.49 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 28.80 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 28.71 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 28.96 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 29.12 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 29.24 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 29.49 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 29.65 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 29.65 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 29.85 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 30.13 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 30.06 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 30.38 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 30.55 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 30.38 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 30.71 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 30.89 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 31.10 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 30.99 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 31.27 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 31.43 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 31.43 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 31.74 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 31.90 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 31.92 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 32.02 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 32.23 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 32.30 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 32.49 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 32.54 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 32.66 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 32.87 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 33.06 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 33.09 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 33.40 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 33.37 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 33.47 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 33.47 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 33.66 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 33.78 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 33.78 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 33.95 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 33.95 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 34.44 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 34.32 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
