timestamp,temperatura_C,sp_temperatura_C,etapa,vazao_L_min,dc_cooler_%,dc_resistencia_%,resistencia
2026-03-05 20:09:05,38.93,40.0,1,0.0,0,9,ON
2026-03-05 20:09:07,38.96,40.0,1,0.0,0,1,ON
2026-03-05 20:09:09,38.93,40.0,1,0.0,0,5,ON
2026-03-05 20:09:11,38.83,40.0,1,0.0,0,4,ON
2026-03-05 20:09:13,38.83,40.0,1,0.0,0,4,ON
2026-03-05 20:09:15,38.78,40.0,1,0.0,0,5,ON
2026-03-05 20:09:17,38.62,40.0,1,0.0,1,6,ON
2026-03-05 20:09:19,38.65,40.0,1,0.0,1,5,ON
2026-03-05 20:09:21,38.59,40.0,1,0.0,1,6,ON
2026-03-05 20:09:23,38.57,40.0,1,0.0,1,5,ON
2026-03-05 20:09:25,38.62,40.0,1,0.0,1,5,ON
2026-03-05 20:09:27,38.52,40.0,1,0.0,1,6,ON
2026-03-05 20:09:29,38.54,40.0,1,0.0,2,5,ON
2026-03-05 20:09:31,38.49,40.0,1,0.0,2,6,ON
2026-03-05 20:09:33,38.31,40.0,1,0.0,2,7,ON
2026-03-05 20:09:35,38.18,40.0,1,0.0,2,8,ON
2026-03-05 20:09:37,38.18,40.0,1,0.0,2,7,ON
2026-03-05 20:09:39,38.18,40.0,1,0.0,2,7,ON
2026-03-05 20:09:41,38.18,40.0,1,0.0,2,7,ON
2026-03-05 20:09:43,38.02,40.0,1,0.0,3,9,ON
2026-03-05 20:09:45,38.05,40.0,1,0.0,3,8,ON
2026-03-05 20:09:47,37.74,40.0,1,0.0,3,11,ON
2026-03-05 20:09:49,37.89,40.0,1,0.0,3,7,ON
2026-03-05 20:09:51,37.92,40.0,1,0.0,3,9,ON
2026-03-05 20:09:53,37.82,40.0,1,0.0,3,9,ON
2026-03-05 20:09:55,37.71,40.0,1,0.0,4,10,ON
2026-03-05 20:09:57,37.66,40.0,1,0.0,4,10,ON
2026-03-05 20:09:59,37.53,40.0,1,0.0,4,11,ON
2026-03-05 20:10:01,37.64,40.0,1,0.0,4,9,ON
2026-03-05 20:10:03,37.51,40.0,1,0.0,4,12,ON
2026-03-05 20:10:05,37.35,40.0,1,0.0,4,12,ON
2026-03-05 20:10:07,37.38,40.0,1,0.0,4,11,ON
2026-03-05 20:10:09,37.33,40.0,1,0.0,5,12,ON
2026-03-05 20:10:11,37.35,40.0,1,0.0,5,11,ON
2026-03-05 20:10:13,37.13,40.0,1,0.0,5,14,ON
2026-03-05 20:10:15,37.23,40.0,1,0.0,5,11,ON
2026-03-05 20:10:17,37.28,40.0,1,0.0,5,13,ON
2026-03-05 20:10:19,37.13,40.0,1,0.0,5,13,ON
2026-03-05 20:10:21,37.18,40.0,1,0.0,6,12,ON
2026-03-05 20:10:23,37.0,40.0,1,0.0,6,15,ON
2026-03-05 20:10:25,37.02,40.0,1,0.0,6,13,ON
2026-03-05 20:10:27,36.97,40.0,1,0.0,6,14,ON
2026-03-05 20:10:29,36.97,40.0,1,0.0,6,14,ON
2026-03-05 20:10:31,36.97,40.0,1,0.0,6,14,ON
2026-03-05 20:10:33,36.97,40.0,1,0.0,6,14,ON
2026-03-05 20:10:35,36.97,40.0,1,0.0,7,14,ON
2026-03-05 20:10:37,36.97,40.0,1,0.0,7,14,ON
2026-03-05 20:10:39,36.97,40.0,1,0.0,7,14,ON
