timestamp,temperatura_C,vazao_L_min,cooler_%,resistencia
2026-03-04 13:37:26,32.32,0.0,2,35,ON
2026-03-04 13:37:28,32.3,0.0,2,50,ON
2026-03-04 13:37:30,32.23,0.0,2,43,ON
2026-03-04 13:37:32,32.25,0.0,2,46,ON
2026-03-04 13:37:34,32.25,0.0,2,45,ON
2026-03-04 13:37:36,32.25,0.0,2,46,ON
2026-03-04 13:37:38,32.25,0.0,2,46,ON
2026-03-04 13:37:40,32.25,0.0,2,46,ON
2026-03-04 13:37:42,32.25,0.0,2,46,ON
2026-03-04 13:37:44,32.3,0.0,2,46,ON
2026-03-04 13:37:46,32.21,0.0,2,48,ON
2026-03-04 13:37:48,32.35,0.07,2,46,ON
2026-03-04 13:37:50,32.49,0.0,2,46,ON
2026-03-04 13:37:52,32.4,0.0,2,47,ON
2026-03-04 13:37:54,32.4,0.0,2,47,ON
2026-03-04 13:37:56,32.47,0.0,2,47,ON
2026-03-04 13:37:58,32.51,0.0,2,47,ON
2026-03-04 13:38:00,32.63,0.0,2,46,ON
2026-03-04 13:38:02,32.63,0.0,2,47,ON
2026-03-04 13:38:04,32.63,0.0,2,47,ON
2026-03-04 13:38:06,32.75,0.0,2,46,ON
2026-03-04 13:38:08,32.68,0.0,2,48,ON
2026-03-04 13:38:10,32.99,0.0,2,45,ON
2026-03-04 13:38:12,32.97,0.0,3,48,ON
2026-03-04 13:38:14,33.01,0.0,3,46,ON
2026-03-04 13:38:16,33.23,0.0,3,45,ON
2026-03-04 13:38:18,33.23,0.0,3,46,ON
2026-03-04 13:38:20,33.4,0.0,3,45,ON
2026-03-04 13:38:22,33.45,0.0,3,46,ON
2026-03-04 13:38:24,33.52,0.0,3,45,ON
2026-03-04 13:38:26,33.69,0.0,3,45,ON
2026-03-04 13:38:28,33.59,0.0,3,46,ON
2026-03-04 13:38:30,33.83,0.0,3,43,ON
2026-03-04 13:38:32,33.88,0.0,3,45,ON
2026-03-04 13:38:34,33.93,0.0,3,44,ON
2026-03-04 13:38:36,34.05,0.0,3,44,ON
2026-03-04 13:38:38,34.17,0.0,3,44,ON
2026-03-04 13:38:40,34.32,0.0,3,43,ON
2026-03-04 13:38:42,34.34,0.0,3,44,ON
2026-03-04 13:38:44,34.53,0.0,3,42,ON
2026-03-04 13:38:46,34.63,0.0,3,43,ON
2026-03-04 13:38:48,34.73,0.0,3,42,ON
2026-03-04 13:38:50,34.78,0.0,3,43,ON
2026-03-04 13:38:52,34.95,0.0,3,41,ON
2026-03-04 13:38:54,34.98,0.0,3,42,ON
2026-03-04 13:38:56,35.07,0.0,3,41,ON
2026-03-04 13:38:58,35.2,0.0,3,41,ON
2026-03-04 13:39:00,35.35,0.0,3,40,ON
2026-03-04 13:39:02,35.42,0.0,3,41,ON
2026-03-04 13:39:04,35.57,0.0,3,40,ON
2026-03-04 13:39:06,35.52,0.0,4,41,ON
2026-03-04 13:39:08,35.69,0.0,4,39,ON
2026-03-04 13:39:10,35.74,0.0,4,40,ON
2026-03-04 13:39:12,35.79,0.0,4,40,ON
2026-03-04 13:39:14,35.87,0.0,4,40,ON
2026-03-04 13:39:16,36.14,0.0,4,38,ON
2026-03-04 13:39:18,36.14,0.0,4,40,ON
2026-03-04 13:39:20,36.14,0.0,4,39,ON
2026-03-04 13:39:22,36.37,0.0,4,37,ON
2026-03-04 13:39:24,36.37,0.0,4,39,ON
2026-03-04 13:39:26,36.97,0.0,4,33,ON
2026-03-04 13:39:28,36.97,0.0,4,38,ON
2026-03-04 13:39:30,36.97,0.0,4,35,ON
2026-03-04 13:39:32,36.97,0.0,4,37,ON
2026-03-04 13:39:34,36.97,0.0,4,36,ON
2026-03-04 13:39:36,37.02,0.0,4,36,ON
2026-03-04 13:39:38,37.0,0.0,4,37,ON
2026-03-04 13:39:40,37.3,0.0,4,34,ON
2026-03-04 13:39:42,37.33,0.0,4,36,ON
2026-03-04 13:39:44,37.33,0.0,4,35,ON
2026-03-04 13:39:46,37.35,0.0,4,35,ON
2026-03-04 13:39:48,37.41,0.0,4,35,ON
2026-03-04 13:39:50,37.38,0.0,4,36,ON
2026-03-04 13:39:52,37.51,0.0,4,34,ON
2026-03-04 13:39:54,37.66,0.0,4,34,ON
2026-03-04 13:39:56,37.61,0.0,4,35,ON
2026-03-04 13:39:58,37.69,0.0,5,34,ON
2026-03-04 13:40:00,37.79,0.0,5,34,ON
2026-03-04 13:40:02,37.94,0.0,5,33,ON
2026-03-04 13:40:04,38.07,0.0,5,33,ON
2026-03-04 13:40:06,38.02,0.0,5,34,ON
2026-03-04 13:40:08,38.13,0.0,5,32,ON
2026-03-04 13:40:10,38.15,0.0,5,33,ON
2026-03-04 13:40:12,38.15,0.0,5,33,ON
2026-03-04 13:40:14,38.18,0.0,5,33,ON
2026-03-04 13:40:16,38.26,0.0,5,32,ON
2026-03-04 13:40:18,38.33,0.0,5,32,ON
2026-03-04 13:40:20,38.33,0.0,5,32,ON
2026-03-04 13:40:22,38.36,0.0,5,32,ON
2026-03-04 13:40:24,38.33,0.0,5,33,ON
2026-03-04 13:40:26,38.44,0.0,5,32,ON
2026-03-04 13:40:28,38.59,0.0,5,31,ON
2026-03-04 13:40:30,38.52,0.0,5,32,ON
2026-03-04 13:40:32,38.59,0.0,5,31,ON
2026-03-04 13:40:34,38.57,0.0,5,32,ON
2026-03-04 13:40:36,38.67,0.0,5,31,ON
2026-03-04 13:40:38,38.78,0.0,5,31,ON
2026-03-04 13:40:40,38.86,0.0,5,30,ON
2026-03-04 13:40:42,38.78,0.0,5,32,ON
2026-03-04 13:40:44,38.91,0.0,5,30,ON
2026-03-04 13:40:46,38.86,0.0,5,31,ON
2026-03-04 13:40:48,38.83,0.0,5,31,ON
2026-03-04 13:40:50,39.01,0.0,5,30,ON
2026-03-04 13:40:52,38.99,0.0,6,31,ON
2026-03-04 13:40:54,39.01,0.0,6,30,ON
2026-03-04 13:40:56,39.01,0.0,6,30,ON
2026-03-04 13:40:58,39.01,0.0,6,30,ON
2026-03-04 13:41:00,39.04,0.0,6,30,ON
2026-03-04 13:41:02,39.04,0.0,6,30,ON
2026-03-04 13:41:04,39.14,0.0,6,29,ON
2026-03-04 13:41:06,39.17,0.0,6,30,ON
2026-03-04 13:41:08,39.2,0.0,6,30,ON
2026-03-04 13:41:10,39.2,0.0,6,30,ON
2026-03-04 13:41:12,39.25,0.0,6,29,ON
2026-03-04 13:41:14,39.28,0.0,6,30,ON
2026-03-04 13:41:16,39.17,0.0,6,30,ON
2026-03-04 13:41:18,39.28,0.0,6,29,ON
2026-03-04 13:41:20,39.38,0.0,6,29,ON
2026-03-04 13:41:22,39.25,0.0,6,30,ON
2026-03-04 13:41:24,39.3,0.0,6,29,ON
2026-03-04 13:41:26,39.36,0.0,6,29,ON
