timestamp,temperatura_C,vazao_L_min,dc_cooler_%,dc_resistencia_%,resistencia
2026-03-04 17:55:14,32.78,0.0,2,61,ON
2026-03-04 17:55:16,32.85,0.0,3,12,ON
2026-03-04 17:55:18,32.75,0.0,4,38,ON
2026-03-04 17:55:22,32.75,0.0,5,19,ON
2026-03-04 17:55:24,32.66,0.0,5,35,ON
2026-03-04 17:55:26,32.63,0.0,6,27,ON
2026-03-04 17:55:28,32.68,0.0,6,31,ON
2026-03-04 17:55:30,32.78,0.0,7,29,ON
2026-03-04 17:55:32,32.7,0.0,7,31,ON
2026-03-04 17:55:34,32.85,0.0,8,29,ON
2026-03-04 17:55:36,32.63,0.0,8,33,ON
2026-03-04 17:55:38,32.7,0.0,9,30,ON
2026-03-04 17:55:40,32.87,0.0,10,30,ON
2026-03-04 17:55:42,32.7,0.0,10,32,ON
2026-03-04 17:55:44,32.85,0.0,11,30,ON
2026-03-04 17:55:46,32.8,0.0,11,32,ON
2026-03-04 17:55:48,32.82,0.0,12,31,ON
2026-03-04 17:55:50,32.97,0.0,12,31,ON
2026-03-04 17:55:52,32.99,0.0,13,31,ON
2026-03-04 17:55:54,32.99,0.0,13,31,ON
2026-03-04 17:55:56,32.97,0.0,14,32,ON
2026-03-04 17:55:58,32.94,0.0,15,32,ON
2026-03-04 17:56:00,32.99,0.0,15,32,ON
2026-03-04 17:56:02,33.09,0.0,16,32,ON
2026-03-04 17:56:04,33.23,0.0,16,31,ON
2026-03-04 17:56:06,33.13,0.0,17,33,ON
2026-03-04 17:56:08,33.25,0.0,17,31,ON
2026-03-04 17:56:10,33.23,0.0,18,33,ON
2026-03-04 17:56:12,33.4,0.0,18,31,ON
2026-03-04 17:56:18,33.4,0.0,20,25,ON
2026-03-04 17:56:20,33.4,0.0,21,36,ON
2026-03-04 17:56:22,33.42,0.0,21,31,ON
2026-03-04 17:56:24,33.66,0.0,22,31,ON
2026-03-04 17:56:26,33.54,0.0,22,33,ON
2026-03-04 17:56:28,33.73,0.0,23,31,ON
2026-03-04 17:56:30,33.78,0.0,23,32,ON
2026-03-04 17:56:32,33.9,0.0,24,31,ON
2026-03-04 17:56:34,33.78,0.0,24,33,ON
2026-03-04 17:56:36,33.78,0.0,25,32,ON
2026-03-04 17:56:38,33.93,0.0,26,31,ON
2026-03-04 17:56:40,34.0,0.0,26,32,ON
2026-03-04 17:56:42,34.05,0.0,27,31,ON
2026-03-04 17:56:44,34.1,0.0,27,31,ON
2026-03-04 17:56:46,34.17,0.0,28,31,ON
2026-03-04 17:56:48,34.19,0.0,28,32,ON
2026-03-04 17:56:50,34.17,0.0,29,32,ON
2026-03-04 17:56:52,34.19,0.0,29,32,ON
2026-03-04 17:56:54,34.34,0.0,30,31,ON
2026-03-04 17:56:56,34.39,0.0,30,31,ON
2026-03-04 17:56:58,34.29,0.0,31,32,ON
2026-03-04 17:57:00,34.39,0.0,32,31,ON
2026-03-04 17:57:02,34.49,0.0,32,31,ON
2026-03-04 17:57:04,34.49,0.0,33,32,ON
2026-03-04 17:57:06,34.53,0.0,33,31,ON
2026-03-04 17:57:08,34.61,0.0,34,31,ON
2026-03-04 17:57:10,34.68,0.0,34,31,ON
2026-03-04 17:57:12,34.68,0.0,35,32,ON
2026-03-04 17:57:14,34.83,0.0,35,30,ON
2026-03-04 17:57:16,34.68,0.0,36,33,ON
2026-03-04 17:57:18,34.75,0.0,37,31,ON
2026-03-04 17:57:20,34.73,0.0,37,32,ON
2026-03-04 17:57:22,34.95,0.0,38,30,ON
2026-03-04 17:57:24,34.9,0.0,38,32,ON
2026-03-04 17:57:26,35.0,0.0,39,30,ON
2026-03-04 17:57:28,34.98,0.0,39,32,ON
2026-03-04 17:57:30,34.98,0.0,40,31,ON
2026-03-04 17:57:32,35.0,0.0,40,32,ON
2026-03-04 17:57:34,35.17,0.0,41,30,ON
2026-03-04 17:57:36,34.95,0.0,41,33,ON
2026-03-04 17:57:38,35.0,0.0,42,31,ON
2026-03-04 17:57:40,35.12,0.0,43,32,ON
2026-03-04 17:57:42,35.17,0.0,43,31,ON
2026-03-04 17:57:44,35.3,0.0,44,31,ON
2026-03-04 17:57:46,35.1,0.0,44,33,ON
2026-03-04 17:57:48,35.32,0.0,45,30,ON
2026-03-04 17:57:50,35.35,0.0,45,32,ON
2026-03-04 17:57:52,35.22,0.0,46,32,ON
2026-03-04 17:57:54,35.32,0.0,46,31,ON
2026-03-04 17:57:56,35.35,0.0,47,32,ON
2026-03-04 17:57:58,35.35,0.0,48,32,ON
2026-03-04 17:58:00,35.27,0.0,48,33,ON
2026-03-04 17:58:02,35.35,0.0,49,32,ON
2026-03-04 17:58:04,35.3,0.0,49,33,ON
2026-03-04 17:58:06,35.37,0.0,50,32,ON
2026-03-04 17:58:08,35.37,0.0,50,33,ON
2026-03-04 17:58:10,35.35,0.0,51,33,ON
2026-03-04 17:58:12,35.32,0.0,51,33,ON
2026-03-04 17:58:14,35.35,0.0,52,33,ON
2026-03-04 17:58:16,35.49,0.0,52,32,ON
2026-03-04 17:58:18,35.27,0.0,53,35,ON
2026-03-04 17:58:20,35.37,0.0,54,32,ON
2026-03-04 17:58:22,35.47,0.0,54,33,ON
2026-03-04 17:58:24,35.35,0.0,55,34,ON
2026-03-04 17:58:26,35.35,0.0,55,33,ON
2026-03-04 17:58:28,35.39,0.0,56,34,ON
2026-03-04 17:58:30,35.39,0.0,56,34,ON
2026-03-04 17:58:32,35.32,0.0,57,34,ON
2026-03-04 17:58:34,35.52,0.0,57,32,ON
2026-03-04 17:58:36,35.37,0.0,58,35,ON
2026-03-04 17:58:38,35.52,0.0,59,33,ON
2026-03-04 17:58:40,35.42,0.0,59,35,ON
2026-03-04 17:58:42,35.49,0.0,60,33,ON
2026-03-04 17:58:44,35.42,0.0,60,35,ON
2026-03-04 17:58:46,35.42,0.0,61,34,ON
2026-03-04 17:58:48,35.37,0.0,61,35,ON
2026-03-04 17:58:50,35.49,0.0,62,34,ON
2026-03-04 17:58:52,35.57,0.0,62,34,ON
2026-03-04 17:58:54,35.35,0.0,63,36,ON
2026-03-04 17:58:56,35.42,0.0,63,34,ON
2026-03-04 17:58:58,35.35,0.0,64,36,ON
2026-03-04 17:59:00,35.35,0.0,65,35,ON
2026-03-04 17:59:02,35.52,0.0,65,35,ON
2026-03-04 17:59:04,35.22,0.0,66,38,ON
2026-03-04 17:59:06,35.42,0.0,66,34,ON
2026-03-04 17:59:08,35.32,0.0,67,38,ON
2026-03-04 17:59:10,35.39,0.0,67,35,ON
2026-03-04 17:59:12,35.47,0.0,68,36,ON
2026-03-04 17:59:14,35.47,0.0,68,36,ON
2026-03-04 17:59:16,35.35,0.0,69,37,ON
2026-03-04 17:59:18,35.44,0.0,70,36,ON
2026-03-04 17:59:20,35.39,0.0,70,37,ON
2026-03-04 17:59:22,35.35,0.0,71,37,ON
2026-03-04 17:59:24,35.37,0.0,72,37,ON
2026-03-04 17:59:26,35.35,0.67,70,38,ON
2026-03-04 17:59:28,35.39,1.33,68,37,ON
2026-03-04 17:59:30,35.37,0.67,71,38,ON
2026-03-04 17:59:32,35.39,2.0,68,37,ON
2026-03-04 17:59:34,35.32,1.33,69,39,ON
2026-03-04 17:59:36,35.32,1.33,68,38,ON
2026-03-04 17:59:38,35.3,1.33,68,39,ON
2026-03-04 17:59:40,35.35,1.33,68,38,ON
2026-03-04 17:59:42,35.32,1.33,68,39,ON
2026-03-04 17:59:44,35.3,1.33,67,39,ON
2026-03-04 17:59:46,35.3,1.33,68,39,ON
2026-03-04 17:59:48,35.22,0.67,70,40,ON
2026-03-04 17:59:50,35.05,2.0,65,41,ON
2026-03-04 17:59:52,35.2,1.33,67,39,ON
2026-03-04 17:59:54,35.35,0.67,69,39,ON
2026-03-04 17:59:56,35.3,1.33,67,40,ON
2026-03-04 17:59:58,35.2,0.67,69,40,ON
2026-03-04 18:00:00,35.32,0.67,69,39,ON
2026-03-04 18:00:02,35.32,0.67,69,40,ON
2026-03-04 18:00:04,35.35,0.67,69,40,ON
2026-03-04 18:00:06,35.35,1.33,66,40,ON
2026-03-04 18:00:08,35.3,1.33,66,41,ON
2026-03-04 18:00:10,35.37,2.0,66,40,ON
2026-03-04 18:00:12,35.2,1.33,67,42,ON
2026-03-04 18:00:14,35.35,0.67,68,39,ON
2026-03-04 18:00:16,35.37,1.33,67,41,ON
2026-03-04 18:00:18,35.39,1.33,66,40,ON
2026-03-04 18:00:20,35.32,1.33,67,42,ON
2026-03-04 18:00:22,35.35,0.67,68,41,ON
2026-03-04 18:00:24,35.52,0.67,68,40,ON
2026-03-04 18:00:26,35.52,0.67,69,41,ON
2026-03-04 18:00:28,35.37,0.67,68,42,ON
2026-03-04 18:00:30,35.39,1.33,65,41,ON
2026-03-04 18:00:32,35.49,0.67,68,41,ON
2026-03-04 18:00:34,35.47,1.33,65,42,ON
2026-03-04 18:00:36,35.52,0.67,67,41,ON
2026-03-04 18:00:38,35.52,1.33,66,42,ON
2026-03-04 18:00:40,35.39,0.67,69,42,ON
2026-03-04 18:00:42,35.47,1.33,66,41,ON
2026-03-04 18:00:44,35.35,0.67,68,43,ON
