timestamp,temperatura_C,vazao_L_min,cooler_%,resistencia
2026-02-26 21:54:14,50.72,0.0,100,OFF
2026-02-26 21:54:16,50.82,0.0,100,OFF
2026-02-26 21:54:18,50.68,0.0,100,OFF
2026-02-26 21:54:20,50.68,0.0,100,OFF
2026-02-26 21:54:22,50.61,0.0,100,OFF
2026-02-26 21:54:24,50.41,0.07,100,OFF
2026-02-26 21:54:26,50.48,3.0,100,OFF
2026-02-26 21:54:28,50.35,8.0,100,OFF
2026-02-26 21:54:30,50.28,10.47,100,OFF
2026-02-26 21:54:32,50.01,10.6,100,OFF
2026-02-26 21:54:45,48.32,4.6,100,OFF
2026-02-26 21:54:47,47.91,1.67,100,OFF
2026-02-26 21:54:49,47.75,9.4,100,OFF
2026-02-26 21:54:51,47.09,11.53,100,OFF
2026-02-26 21:54:53,46.41,16.0,100,OFF
2026-02-26 21:54:55,46.54,16.33,100,OFF
2026-02-26 21:54:57,45.96,18.87,100,OFF
2026-02-26 21:54:59,45.6,17.93,100,OFF
2026-02-26 21:55:01,45.15,19.07,100,OFF
2026-02-26 21:55:03,44.82,17.33,100,OFF
2026-02-26 21:55:05,44.32,19.6,100,OFF
2026-02-26 21:55:07,43.89,18.33,100,OFF
2026-02-26 21:55:09,43.37,20.0,100,OFF
2026-02-26 21:55:11,42.97,10.87,100,OFF
2026-02-26 21:55:13,42.43,0.6,100,OFF
2026-02-26 21:55:15,41.74,8.07,100,OFF
2026-02-26 21:55:17,41.02,15.4,100,OFF
2026-02-26 21:55:19,40.72,17.27,100,OFF
2026-02-26 21:55:21,40.56,18.13,100,OFF
2026-02-26 21:55:23,40.29,14.93,100,OFF
2026-02-26 21:55:25,39.94,0.0,100,OFF
