tempo_s,delta_vazao_L_min,vazao_L_min
0.0,0.0,0.0
2.0,0.0,0.0
4.0,0.0,0.0
6.0,1.07,1.07
8.0,6.07,6.07
10.0,10.73,10.73
12.0,12.73,12.73
14.0,13.13,13.13
16.0,13.33,13.33
18.0,14.6,14.6
20.0,14.0,14.0
22.0,14.73,14.73
24.0,15.07,15.07
26.0,14.47,14.47
28.0,15.4,15.4
30.0,14.87,14.87
32.0,15.0,15.0
34.0,15.13,15.13
36.0,15.4,15.4
38.0,15.67,15.67
40.0,16.27,16.27
42.0,16.2,16.2
44.0,15.93,15.93
46.0,15.6,15.6
48.0,15.53,15.53
50.0,15.87,15.87
52.0,15.27,15.27
54.0,15.07,15.07
56.0,15.6,15.6
58.0,14.93,14.93
60.0,15.2,15.2
62.0,15.0,15.0
64.0,14.6,14.6
66.0,15.73,15.73
68.0,14.93,14.93
70.0,15.33,15.33
72.0,14.53,14.53
74.0,14.93,14.93
76.0,14.33,14.33
78.0,15.27,15.27
80.0,15.07,15.07
82.0,15.27,15.27
84.0,14.47,14.47
86.0,14.2,14.2
88.0,14.13,14.13
90.0,13.93,13.93
92.0,14.53,14.53
94.0,14.0,14.0
96.0,14.27,14.27
98.0,14.2,14.2
100.0,14.53,14.53
102.0,14.2,14.2
104.0,14.0,14.0
106.0,13.73,13.73
108.0,14.0,14.0
110.0,14.67,14.67
112.0,13.93,13.93
114.0,14.73,14.73
116.0,14.73,14.73
118.0,14.07,14.07
120.0,14.13,14.13
122.0,13.93,13.93
124.0,13.8,13.8
126.0,14.47,14.47
128.0,13.33,13.33
130.0,13.87,13.87
132.0,14.47,14.47
134.0,14.6,14.6
136.0,13.53,13.53
138.0,13.4,13.4
140.0,14.33,14.33
142.0,13.67,13.67
144.0,13.0,13.0
146.0,14.6,14.6
148.0,13.6,13.6
150.0,14.0,14.0
152.0,14.0,14.0
154.0,14.13,14.13
156.0,14.27,14.27
158.0,13.6,13.6
160.0,14.33,14.33
162.0,13.93,13.93
164.0,14.47,14.47
166.0,14.27,14.27
168.0,14.73,14.73
170.0,14.13,14.13
172.0,14.13,14.13
174.0,13.93,13.93
176.0,14.27,14.27
178.0,14.2,14.2
180.0,14.0,14.0
182.0,14.67,14.67
184.0,14.73,14.73
186.0,14.6,14.6
188.0,14.33,14.33
190.0,13.6,13.6
192.0,13.73,13.73
194.0,13.73,13.73
196.0,14.27,14.27
198.0,14.2,14.2
200.0,13.8,13.8
202.0,14.27,14.27
204.0,14.47,14.47
206.0,14.73,14.73
208.0,14.13,14.13
210.0,14.67,14.67
212.0,14.87,14.87
214.0,13.73,13.73
216.0,14.67,14.67
218.0,14.4,14.4
220.0,14.0,14.0
222.0,14.73,14.73
224.0,14.4,14.4
226.0,14.13,14.13
228.0,14.13,14.13
230.0,14.73,14.73
232.0,14.8,14.8
234.0,14.6,14.6
236.0,14.53,14.53
238.0,15.2,15.2
240.0,14.73,14.73
242.0,15.2,15.2
244.0,14.67,14.67
246.0,14.73,14.73
248.0,14.47,14.47
250.0,14.8,14.8
252.0,15.07,15.07
254.0,14.4,14.4
256.0,14.73,14.73
258.0,14.53,14.53
260.0,14.4,14.4
262.0,14.27,14.27
264.0,15.07,15.07
266.0,14.87,14.87
268.0,15.4,15.4
270.0,14.8,14.8
272.0,14.6,14.6
274.0,15.27,15.27
276.0,15.67,15.67
278.0,14.27,14.27
280.0,15.0,15.0
282.0,14.93,14.93
284.0,14.47,14.47
286.0,14.6,14.6
288.0,15.07,15.07
290.0,14.53,14.53
292.0,15.2,15.2
294.0,14.73,14.73
296.0,15.0,15.0
298.0,14.67,14.67
300.0,14.93,14.93
302.0,15.87,15.87
304.0,15.07,15.07
306.0,14.67,14.67
308.0,15.07,15.07
310.0,14.6,14.6
312.0,15.13,15.13
314.0,14.73,14.73
316.0,14.27,14.27
318.0,14.6,14.6
320.0,14.8,14.8
322.0,15.2,15.2
324.0,14.87,14.87
326.0,15.93,15.93
328.0,15.0,15.0
330.0,14.67,14.67
332.0,14.93,14.93
334.0,15.07,15.07
336.0,14.8,14.8
338.0,14.87,14.87
340.0,15.07,15.07
342.0,15.73,15.73
344.0,14.47,14.47
346.0,15.0,15.0
348.0,15.67,15.67
350.0,15.87,15.87
352.0,15.13,15.13
354.0,15.07,15.07
356.0,15.2,15.2
358.0,14.8,14.8
360.0,15.27,15.27
362.0,15.0,15.0
364.0,15.33,15.33
366.0,15.6,15.6
368.0,15.2,15.2
370.0,14.67,14.67
372.0,15.07,15.07
374.0,14.87,14.87
376.0,15.07,15.07
378.0,15.93,15.93
380.0,15.67,15.67
382.0,15.6,15.6
384.0,15.8,15.8
386.0,15.93,15.93
388.0,15.53,15.53
390.0,15.4,15.4
392.0,14.67,14.67
394.0,14.67,14.67
396.0,14.27,14.27
398.0,15.27,15.27
400.0,16.27,16.27
402.0,15.33,15.33
404.0,15.33,15.33
406.0,14.8,14.8
408.0,15.53,15.53
410.0,14.87,14.87
412.0,15.33,15.33
414.0,14.8,14.8
416.0,15.0,15.0
418.0,14.27,14.27
420.0,15.67,15.67
422.0,15.8,15.8
424.0,15.6,15.6
426.0,14.6,14.6
428.0,15.07,15.07
430.0,14.53,14.53
432.0,15.53,15.53
434.0,14.87,14.87
436.0,14.13,14.13
438.0,15.4,15.4
440.0,15.13,15.13
442.0,14.2,14.2
444.0,14.6,14.6
446.0,14.67,14.67
448.0,15.27,15.27
450.0,15.13,15.13
452.0,14.6,14.6
454.0,15.33,15.33
456.0,15.27,15.27
458.0,15.47,15.47
460.0,15.27,15.27
462.0,15.33,15.33
464.0,14.67,14.67
466.0,15.07,15.07
468.0,15.13,15.13
470.0,15.0,15.0
472.0,15.13,15.13
474.0,15.0,15.0
476.0,15.0,15.0
478.0,14.8,14.8
480.0,15.0,15.0
482.0,14.6,14.6
484.0,13.13,13.13
486.0,13.8,13.8
488.0,14.0,14.0
490.0,14.67,14.67
492.0,14.6,14.6
494.0,15.0,15.0
496.0,15.33,15.33
498.0,14.93,14.93
500.0,15.07,15.07
502.0,15.2,15.2
504.0,15.13,15.13
506.0,15.0,15.0
508.0,15.0,15.0
510.0,15.27,15.27
512.0,14.87,14.87
514.0,15.0,15.0
516.0,14.73,14.73
518.0,16.07,16.07
520.0,14.2,14.2
522.0,15.27,15.27
524.0,15.87,15.87
526.0,15.87,15.87
528.0,15.2,15.2
530.0,14.8,14.8
532.0,15.07,15.07
534.0,14.8,14.8
536.0,15.07,15.07
538.0,15.0,15.0
540.0,15.13,15.13
542.0,14.07,14.07
544.0,14.6,14.6
546.0,14.4,14.4
548.0,14.27,14.27
550.0,15.4,15.4
552.0,14.67,14.67
554.0,14.33,14.33
556.0,14.67,14.67
558.0,14.73,14.73
560.0,15.6,15.6
562.0,15.2,15.2
564.0,14.6,14.6
566.0,14.93,14.93
568.0,15.0,15.0
570.0,15.0,15.0
572.0,14.67,14.67
574.0,14.73,14.73
576.0,14.67,14.67
578.0,15.07,15.07
580.0,15.13,15.13
582.0,15.07,15.07
584.0,15.2,15.2
586.0,15.13,15.13
588.0,15.13,15.13
590.0,14.6,14.6
592.0,15.07,15.07
594.0,14.8,14.8
596.0,14.87,14.87
598.0,15.4,15.4
600.0,14.67,14.67
602.0,14.73,14.73
604.0,14.53,14.53
606.0,15.33,15.33
608.0,14.8,14.8
610.0,15.13,15.13
612.0,13.67,13.67
614.0,15.33,15.33
616.0,14.93,14.93
618.0,14.87,14.87
620.0,14.93,14.93
622.0,14.73,14.73
624.0,13.8,13.8
626.0,14.8,14.8
628.0,14.53,14.53
630.0,15.07,15.07
632.0,14.2,14.2
634.0,14.67,14.67
636.0,14.6,14.6
638.0,13.87,13.87
640.0,14.53,14.53
642.0,14.33,14.33
644.0,14.67,14.67
646.0,14.73,14.73
648.0,14.07,14.07
650.0,15.07,15.07
652.0,14.87,14.87
654.0,14.6,14.6
656.0,15.07,15.07
658.0,14.4,14.4
660.0,15.0,15.0
662.0,15.13,15.13
664.0,14.87,14.87
666.0,14.8,14.8
