tempo_s,delta_T_C,temperatura_C
0.0,0.0,28.78
2.0,0.0,28.78
4.0,0.07000000000000028,28.85
6.0,-0.07000000000000028,28.71
8.0,0.0,28.78
10.0,0.07000000000000028,28.85
12.0,0.0,28.78
14.0,0.07000000000000028,28.85
16.0,0.11999999999999744,28.9
18.0,0.07000000000000028,28.85
20.0,0.14000000000000057,28.92
22.0,0.16000000000000014,28.94
24.0,0.07000000000000028,28.85
26.0,0.14000000000000057,28.92
28.0,0.39000000000000057,29.17
30.0,0.2699999999999996,29.05
32.0,0.2099999999999973,28.99
34.0,0.33999999999999986,29.12
36.0,0.4299999999999997,29.21
38.0,0.41000000000000014,29.19
40.0,0.5,29.28
42.0,0.5,29.28
44.0,0.5899999999999999,29.37
46.0,0.75,29.53
48.0,0.75,29.53
50.0,0.7999999999999972,29.58
52.0,0.8699999999999974,29.65
54.0,0.9100000000000001,29.69
56.0,1.0700000000000003,29.85
58.0,1.1699999999999982,29.95
60.0,1.2399999999999984,30.02
62.0,1.2799999999999976,30.06
64.0,1.3999999999999986,30.18
66.0,1.5799999999999983,30.36
68.0,1.5999999999999979,30.38
70.0,1.6499999999999986,30.43
72.0,1.7199999999999989,30.5
74.0,1.8599999999999994,30.64
76.0,1.9299999999999997,30.71
78.0,2.0199999999999996,30.8
80.0,2.1400000000000006,30.92
82.0,2.349999999999998,31.13
84.0,2.3699999999999974,31.15
86.0,2.4399999999999977,31.22
88.0,2.5599999999999987,31.34
90.0,2.5799999999999983,31.36
92.0,2.7699999999999996,31.55
94.0,2.9299999999999997,31.71
96.0,3.0299999999999976,31.81
98.0,3.099999999999998,31.88
100.0,3.3100000000000023,32.09
102.0,3.3100000000000023,32.09
104.0,3.5,32.28
106.0,3.539999999999999,32.32
108.0,3.780000000000001,32.56
110.0,3.8500000000000014,32.63
112.0,4.0,32.78
114.0,4.109999999999999,32.89
116.0,4.189999999999998,32.97
118.0,4.310000000000002,33.09
120.0,4.469999999999999,33.25
122.0,4.589999999999996,33.37
124.0,4.619999999999997,33.4
126.0,4.619999999999997,33.4
128.0,4.829999999999998,33.61
130.0,5.0,33.78
