tempo_s,delta_T_C,temperatura_C
0.0,0.13999999999999346,52.41
2.0,0.0,52.27
4.0,0.1699999999999946,52.44
6.0,0.13999999999999346,52.41
8.0,-0.11000000000000654,52.16
10.0,0.1699999999999946,52.44
12.0,0.02999999999999403,52.3
14.0,-0.07000000000000028,52.2
16.0,0.02999999999999403,52.3
18.0,0.23999999999999488,52.51
20.0,0.02999999999999403,52.3
22.0,0.1699999999999946,52.44
24.0,0.13999999999999346,52.41
26.0,0.1699999999999946,52.44
28.0,0.23999999999999488,52.51
30.0,0.1699999999999946,52.44
32.0,0.23999999999999488,52.51
34.0,0.23999999999999488,52.51
36.0,0.09999999999999432,52.37
38.0,0.20999999999999375,52.48
40.0,0.23999999999999488,52.51
42.0,0.23999999999999488,52.51
44.0,0.23999999999999488,52.51
46.0,0.20999999999999375,52.48
48.0,0.1699999999999946,52.44
50.0,0.23999999999999488,52.51
52.0,0.30999999999999517,52.58
54.0,0.3499999999999943,52.62
56.0,0.27999999999999403,52.55
58.0,0.30999999999999517,52.58
60.0,0.23999999999999488,52.51
62.0,0.07000000000000028,52.34
64.0,0.20999999999999375,52.48
66.0,0.09999999999999432,52.37
68.0,0.1699999999999946,52.44
70.0,-0.04000000000000625,52.23
72.0,-0.07000000000000028,52.2
74.0,-0.11000000000000654,52.16
76.0,-0.11000000000000654,52.16
78.0,0.07000000000000028,52.34
80.0,-0.28000000000000114,51.99
82.0,-0.28000000000000114,51.99
84.0,-0.7000000000000028,51.57
86.0,-0.8700000000000045,51.4
88.0,-0.8700000000000045,51.4
90.0,-0.8700000000000045,51.4
92.0,-0.980000000000004,51.29
94.0,-1.3900000000000006,50.88
96.0,-1.1100000000000065,51.16
98.0,-1.3500000000000014,50.92
100.0,-1.5900000000000034,50.68
102.0,-1.5200000000000031,50.75
104.0,-2.1300000000000026,50.14
106.0,-2.030000000000001,50.24
108.0,-1.9600000000000009,50.31
110.0,-2.3200000000000003,49.95
112.0,-2.3600000000000065,49.91
114.0,-2.3200000000000003,49.95
116.0,-2.490000000000002,49.78
118.0,-2.8200000000000003,49.45
120.0,-3.0800000000000054,49.19
122.0,-2.950000000000003,49.32
124.0,-3.1100000000000065,49.16
126.0,-3.210000000000001,49.06
128.0,-3.3700000000000045,48.9
130.0,-3.5700000000000003,48.7
132.0,-3.950000000000003,48.32
134.0,-3.760000000000005,48.51
136.0,-3.6300000000000026,48.64
138.0,-3.7900000000000063,48.48
140.0,-4.050000000000004,48.22
142.0,-4.3600000000000065,47.91
144.0,-4.3600000000000065,47.91
146.0,-4.550000000000004,47.72
148.0,-4.550000000000004,47.72
150.0,-4.6200000000000045,47.65
152.0,-4.710000000000001,47.56
154.0,-4.68,47.59
156.0,-4.710000000000001,47.56
158.0,-4.590000000000003,47.68
160.0,-4.68,47.59
162.0,-4.770000000000003,47.5
164.0,-5.020000000000003,47.25
166.0,-5.050000000000004,47.22
168.0,-5.150000000000006,47.12
170.0,-5.520000000000003,46.75
172.0,-5.3600000000000065,46.91
174.0,-5.400000000000006,46.87
176.0,-5.640000000000001,46.63
178.0,-5.640000000000001,46.63
180.0,-5.550000000000004,46.72
182.0,-5.460000000000001,46.81
184.0,-5.950000000000003,46.32
186.0,-5.550000000000004,46.72
188.0,-6.040000000000006,46.23
190.0,-6.010000000000005,46.26
192.0,-5.830000000000005,46.44
194.0,-5.830000000000005,46.44
196.0,-5.890000000000001,46.38
198.0,-5.950000000000003,46.32
200.0,-6.130000000000003,46.14
202.0,-6.07,46.2
204.0,-5.950000000000003,46.32
206.0,-6.040000000000006,46.23
208.0,-6.100000000000001,46.17
210.0,-6.130000000000003,46.14
212.0,-6.160000000000004,46.11
214.0,-6.25,46.02
216.0,-6.310000000000002,45.96
218.0,-6.520000000000003,45.75
220.0,-6.550000000000004,45.72
222.0,-6.340000000000003,45.93
224.0,-6.790000000000006,45.48
226.0,-6.460000000000001,45.81
228.0,-6.550000000000004,45.72
230.0,-6.82,45.45
232.0,-6.520000000000003,45.75
234.0,-6.850000000000001,45.42
236.0,-6.790000000000006,45.48
238.0,-6.550000000000004,45.72
240.0,-6.700000000000003,45.57
242.0,-6.580000000000005,45.69
244.0,-6.550000000000004,45.72
246.0,-6.940000000000005,45.33
248.0,-6.850000000000001,45.42
250.0,-6.82,45.45
252.0,-6.82,45.45
254.0,-6.82,45.45
256.0,-6.910000000000004,45.36
258.0,-7.0,45.27
260.0,-7.150000000000006,45.12
262.0,-6.940000000000005,45.33
264.0,-7.150000000000006,45.12
266.0,-7.0,45.27
268.0,-6.970000000000006,45.3
270.0,-6.970000000000006,45.3
272.0,-7.18,45.09
274.0,-6.970000000000006,45.3
276.0,-7.150000000000006,45.12
278.0,-7.0,45.27
280.0,-7.060000000000002,45.21
282.0,-7.300000000000004,44.97
284.0,-7.150000000000006,45.12
286.0,-7.090000000000003,45.18
288.0,-7.3600000000000065,44.91
290.0,-7.030000000000001,45.24
292.0,-7.270000000000003,45.0
294.0,-7.270000000000003,45.0
296.0,-7.210000000000001,45.06
298.0,-7.300000000000004,44.97
300.0,-7.210000000000001,45.06
302.0,-7.1200000000000045,45.15
304.0,-7.330000000000005,44.94
306.0,-7.300000000000004,44.97
308.0,-7.330000000000005,44.94
310.0,-7.330000000000005,44.94
312.0,-7.450000000000003,44.82
314.0,-7.330000000000005,44.94
316.0,-7.330000000000005,44.94
318.0,-7.540000000000006,44.73
320.0,-7.300000000000004,44.97
322.0,-7.540000000000006,44.73
324.0,-7.68,44.59
326.0,-7.420000000000002,44.85
328.0,-7.330000000000005,44.94
330.0,-7.68,44.59
332.0,-7.450000000000003,44.82
334.0,-7.540000000000006,44.73
336.0,-7.770000000000003,44.5
338.0,-7.630000000000003,44.64
340.0,-7.770000000000003,44.5
342.0,-7.390000000000001,44.88
344.0,-7.540000000000006,44.73
346.0,-7.68,44.59
348.0,-7.420000000000002,44.85
350.0,-7.480000000000004,44.79
352.0,-7.630000000000003,44.64
354.0,-7.420000000000002,44.85
356.0,-7.630000000000003,44.64
358.0,-7.950000000000003,44.32
360.0,-7.57,44.7
362.0,-7.57,44.7
364.0,-7.480000000000004,44.79
366.0,-7.68,44.59
368.0,-7.630000000000003,44.64
370.0,-7.420000000000002,44.85
372.0,-7.740000000000002,44.53
374.0,-7.68,44.59
376.0,-7.650000000000006,44.62
378.0,-7.650000000000006,44.62
380.0,-7.830000000000005,44.44
382.0,-7.510000000000005,44.76
384.0,-7.57,44.7
386.0,-7.770000000000003,44.5
388.0,-7.68,44.59
390.0,-7.770000000000003,44.5
392.0,-7.68,44.59
394.0,-7.57,44.7
396.0,-7.57,44.7
398.0,-7.68,44.59
400.0,-7.68,44.59
402.0,-7.830000000000005,44.44
404.0,-7.8600000000000065,44.41
406.0,-7.57,44.7
408.0,-7.8600000000000065,44.41
410.0,-7.770000000000003,44.5
412.0,-7.630000000000003,44.64
414.0,-7.890000000000001,44.38
416.0,-7.630000000000003,44.64
418.0,-7.740000000000002,44.53
420.0,-7.800000000000004,44.47
422.0,-7.890000000000001,44.38
424.0,-7.630000000000003,44.64
426.0,-7.630000000000003,44.64
428.0,-7.8600000000000065,44.41
430.0,-7.68,44.59
432.0,-7.630000000000003,44.64
434.0,-7.740000000000002,44.53
436.0,-7.630000000000003,44.64
438.0,-7.68,44.59
440.0,-7.890000000000001,44.38
442.0,-7.890000000000001,44.38
444.0,-7.68,44.59
446.0,-7.950000000000003,44.32
448.0,-7.630000000000003,44.64
450.0,-7.630000000000003,44.64
452.0,-7.630000000000003,44.64
454.0,-7.950000000000003,44.32
456.0,-7.740000000000002,44.53
458.0,-7.950000000000003,44.32
460.0,-7.8600000000000065,44.41
462.0,-7.8600000000000065,44.41
464.0,-7.830000000000005,44.44
466.0,-7.57,44.7
468.0,-7.830000000000005,44.44
470.0,-7.68,44.59
472.0,-7.68,44.59
474.0,-7.600000000000001,44.67
476.0,-7.890000000000001,44.38
478.0,-7.830000000000005,44.44
480.0,-7.980000000000004,44.29
482.0,-7.950000000000003,44.32
484.0,-7.800000000000004,44.47
486.0,-7.8600000000000065,44.41
488.0,-7.650000000000006,44.62
490.0,-7.800000000000004,44.47
492.0,-7.800000000000004,44.47
494.0,-7.740000000000002,44.53
496.0,-7.68,44.59
498.0,-7.710000000000001,44.56
500.0,-7.68,44.59
502.0,-7.950000000000003,44.32
504.0,-7.950000000000003,44.32
506.0,-7.770000000000003,44.5
508.0,-7.630000000000003,44.64
510.0,-7.68,44.59
512.0,-7.740000000000002,44.53
514.0,-7.800000000000004,44.47
516.0,-7.68,44.59
518.0,-7.950000000000003,44.32
520.0,-7.890000000000001,44.38
522.0,-7.950000000000003,44.32
524.0,-7.980000000000004,44.29
526.0,-7.830000000000005,44.44
528.0,-7.890000000000001,44.38
530.0,-7.830000000000005,44.44
532.0,-7.770000000000003,44.5
534.0,-7.950000000000003,44.32
536.0,-7.800000000000004,44.47
538.0,-7.68,44.59
540.0,-7.740000000000002,44.53
542.0,-7.830000000000005,44.44
544.0,-7.800000000000004,44.47
546.0,-7.890000000000001,44.38
548.0,-7.920000000000002,44.35
550.0,-7.68,44.59
552.0,-7.8600000000000065,44.41
554.0,-7.710000000000001,44.56
556.0,-7.950000000000003,44.32
558.0,-7.920000000000002,44.35
560.0,-7.890000000000001,44.38
562.0,-7.57,44.7
564.0,-7.800000000000004,44.47
566.0,-7.800000000000004,44.47
568.0,-7.800000000000004,44.47
570.0,-7.800000000000004,44.47
572.0,-7.830000000000005,44.44
574.0,-7.740000000000002,44.53
576.0,-7.8600000000000065,44.41
578.0,-7.68,44.59
580.0,-7.950000000000003,44.32
582.0,-7.950000000000003,44.32
584.0,-7.630000000000003,44.64
586.0,-7.890000000000001,44.38
588.0,-7.950000000000003,44.32
590.0,-7.540000000000006,44.73
592.0,-7.650000000000006,44.62
594.0,-7.68,44.59
596.0,-7.770000000000003,44.5
598.0,-7.770000000000003,44.5
600.0,-7.950000000000003,44.32
602.0,-7.890000000000001,44.38
604.0,-7.950000000000003,44.32
606.0,-7.800000000000004,44.47
608.0,-7.770000000000003,44.5
610.0,-7.770000000000003,44.5
612.0,-7.830000000000005,44.44
614.0,-7.950000000000003,44.32
616.0,-7.740000000000002,44.53
618.0,-7.600000000000001,44.67
620.0,-7.800000000000004,44.47
622.0,-7.890000000000001,44.38
624.0,-7.950000000000003,44.32
626.0,-7.950000000000003,44.32
628.0,-7.950000000000003,44.32
630.0,-7.8600000000000065,44.41
632.0,-7.950000000000003,44.32
634.0,-7.920000000000002,44.35
636.0,-7.920000000000002,44.35
638.0,-7.8600000000000065,44.41
640.0,-7.920000000000002,44.35
642.0,-7.57,44.7
644.0,-7.950000000000003,44.32
646.0,-7.8600000000000065,44.41
648.0,-7.800000000000004,44.47
650.0,-7.630000000000003,44.64
652.0,-7.800000000000004,44.47
654.0,-7.480000000000004,44.79
656.0,-7.800000000000004,44.47
658.0,-7.8600000000000065,44.41
660.0,-7.950000000000003,44.32
662.0,-7.800000000000004,44.47
664.0,-7.740000000000002,44.53
666.0,-7.8600000000000065,44.41
668.0,-7.740000000000002,44.53
670.0,-7.950000000000003,44.32
672.0,-7.8600000000000065,44.41
674.0,-7.740000000000002,44.53
676.0,-7.740000000000002,44.53
678.0,-7.770000000000003,44.5
680.0,-7.650000000000006,44.62
682.0,-7.630000000000003,44.64
684.0,-7.830000000000005,44.44
686.0,-7.920000000000002,44.35
688.0,-7.68,44.59
690.0,-7.770000000000003,44.5
692.0,-7.510000000000005,44.76
694.0,-7.630000000000003,44.64
696.0,-7.740000000000002,44.53
698.0,-7.740000000000002,44.53
700.0,-7.920000000000002,44.35
702.0,-7.68,44.59
704.0,-7.800000000000004,44.47
706.0,-7.68,44.59
708.0,-7.68,44.59
710.0,-7.650000000000006,44.62
712.0,-7.920000000000002,44.35
714.0,-7.8600000000000065,44.41
716.0,-7.950000000000003,44.32
718.0,-7.540000000000006,44.73
720.0,-7.800000000000004,44.47
722.0,-7.57,44.7
