timestamp,temperatura_C,vazao_L_min,dc_cooler_%,dc_resistencia_%,resistencia
2026-03-05 19:20:35,29.03,0.0,0,93,ON
2026-03-05 19:20:37,29.31,0.0,0,16,ON
2026-03-05 19:20:39,29.31,0.0,0,56,ON
2026-03-05 19:20:41,29.58,0.0,0,34,ON
2026-03-05 19:20:43,29.63,0.0,0,46,ON
2026-03-05 19:20:45,29.72,0.0,0,40,ON
2026-03-05 19:20:47,29.67,0.0,1,44,ON
2026-03-05 19:20:49,29.72,0.0,1,42,ON
2026-03-05 19:20:51,29.69,0.0,1,43,ON
2026-03-05 19:20:53,30.11,0.0,1,39,ON
2026-03-05 19:20:55,29.95,0.0,1,44,ON
2026-03-05 19:20:57,30.04,0.0,1,41,ON
2026-03-05 19:20:59,30.25,0.0,2,42,ON
2026-03-05 19:21:01,30.29,0.0,2,42,ON
2026-03-05 19:21:03,30.29,0.0,2,42,ON
2026-03-05 19:21:05,30.38,0.0,2,42,ON
2026-03-05 19:21:07,30.66,0.0,2,40,ON
2026-03-05 19:21:09,30.41,0.0,2,44,ON
2026-03-05 19:21:11,30.69,0.0,2,40,ON
2026-03-05 19:21:13,30.78,0.0,3,42,ON
2026-03-05 19:21:15,30.75,0.0,3,42,ON
2026-03-05 19:21:17,30.96,0.0,3,40,ON
2026-03-05 19:21:19,30.96,0.0,3,42,ON
2026-03-05 19:21:21,31.1,0.0,3,40,ON
2026-03-05 19:21:23,31.29,0.0,3,40,ON
2026-03-05 19:21:25,31.34,0.0,4,41,ON
2026-03-05 19:21:27,31.2,0.0,4,42,ON
2026-03-05 19:21:29,31.45,0.0,4,39,ON
2026-03-05 19:21:31,31.62,0.0,4,40,ON
2026-03-05 19:21:33,31.66,0.0,4,40,ON
2026-03-05 19:21:35,31.74,0.0,4,40,ON
2026-03-05 19:21:37,31.64,0.0,4,41,ON
2026-03-05 19:21:39,31.85,0.0,5,39,ON
2026-03-05 19:21:41,31.95,0.0,5,40,ON
2026-03-05 19:21:43,32.11,0.0,5,39,ON
2026-03-05 19:21:45,32.14,0.0,5,40,ON
2026-03-05 19:21:47,32.3,0.0,5,39,ON
2026-03-05 19:21:49,32.25,0.0,5,40,ON
2026-03-05 19:21:51,32.61,0.0,6,37,ON
2026-03-05 19:21:53,32.51,0.0,6,41,ON
2026-03-05 19:21:55,32.7,0.0,6,37,ON
2026-03-05 19:21:57,32.8,0.0,6,39,ON
2026-03-05 19:21:59,32.7,0.0,6,39,ON
2026-03-05 19:22:01,32.85,0.0,6,38,ON
2026-03-05 19:22:03,33.06,0.0,6,37,ON
2026-03-05 19:22:05,33.04,0.0,7,39,ON
2026-03-05 19:22:07,33.13,0.0,7,37,ON
2026-03-05 19:22:09,33.4,0.0,7,36,ON
2026-03-05 19:22:11,33.4,0.0,7,38,ON
2026-03-05 19:22:13,33.47,0.0,7,37,ON
2026-03-05 19:22:15,33.45,0.0,7,38,ON
2026-03-05 19:22:17,33.47,0.0,8,37,ON
2026-03-05 19:22:19,33.54,0.0,8,37,ON
2026-03-05 19:22:21,33.71,0.0,8,36,ON
2026-03-05 19:22:23,33.78,0.0,8,37,ON
2026-03-05 19:22:25,34.1,0.0,8,34,ON
2026-03-05 19:22:27,34.1,0.0,8,37,ON
2026-03-05 19:22:29,34.1,0.0,8,36,ON
2026-03-05 19:22:31,34.05,0.0,9,37,ON
2026-03-05 19:22:33,34.29,0.0,9,34,ON
2026-03-05 19:22:35,34.34,0.0,9,36,ON
2026-03-05 19:22:37,34.44,0.0,9,35,ON
2026-03-05 19:22:39,34.27,0.0,9,37,ON
2026-03-05 19:22:41,34.56,0.0,9,33,ON
2026-03-05 19:22:43,34.61,0.0,10,36,ON
2026-03-05 19:22:45,34.58,0.0,10,35,ON
2026-03-05 19:22:47,34.58,0.0,10,36,ON
2026-03-05 19:22:49,34.78,0.0,10,34,ON
2026-03-05 19:22:51,34.8,0.0,10,35,ON
2026-03-05 19:22:53,34.98,0.0,10,34,ON
2026-03-05 19:22:55,34.98,0.0,10,35,ON
2026-03-05 19:22:57,35.02,0.0,11,34,ON
2026-03-05 19:22:59,35.1,0.0,11,34,ON
2026-03-05 19:23:01,34.98,0.0,11,36,ON
2026-03-05 19:23:03,35.27,0.0,11,32,ON
2026-03-05 19:23:05,35.22,0.0,11,35,ON
2026-03-05 19:23:07,35.22,0.0,11,34,ON
2026-03-05 19:23:09,35.39,0.0,12,33,ON
2026-03-05 19:23:11,35.59,0.0,12,33,ON
2026-03-05 19:23:13,35.59,0.0,12,34,ON
2026-03-05 19:23:15,35.67,0.0,12,33,ON
2026-03-05 19:23:17,35.35,0.0,12,36,ON
2026-03-05 19:23:19,35.54,0.0,12,32,ON
2026-03-05 19:23:21,35.72,0.0,12,33,ON
2026-03-05 19:23:23,35.59,0.0,13,34,ON
2026-03-05 19:23:25,35.74,0.0,13,33,ON
2026-03-05 19:23:27,35.84,0.0,13,33,ON
2026-03-05 19:23:29,35.82,0.0,13,34,ON
2026-03-05 19:23:31,36.07,0.0,13,31,ON
2026-03-05 19:23:33,36.09,0.0,13,33,ON
2026-03-05 19:23:35,35.97,0.0,14,33,ON
2026-03-05 19:23:37,36.02,0.0,14,33,ON
2026-03-05 19:23:39,36.14,0.0,14,32,ON
2026-03-05 19:23:41,36.14,0.0,14,33,ON
2026-03-05 19:23:43,36.27,0.0,14,32,ON
2026-03-05 19:23:45,36.29,0.0,14,33,ON
2026-03-05 19:23:47,36.14,0.0,14,34,ON
2026-03-05 19:23:49,36.32,0.0,15,31,ON
2026-03-05 19:23:51,36.24,0.0,15,34,ON
2026-03-05 19:23:53,36.22,0.0,15,33,ON
2026-03-05 19:23:55,36.42,0.0,15,32,ON
2026-03-05 19:23:57,36.52,0.0,15,32,ON
2026-03-05 19:23:59,36.29,0.0,15,34,ON
2026-03-05 19:24:01,36.97,0.0,16,27,ON
2026-03-05 19:24:03,36.97,0.0,16,32,ON
