t_ms,vazao_Lmin,fase
3200,0.0,DEGRAU
3400,0.0,DEGRAU
3600,0.0,DEGRAU
3800,0.6667,DEGRAU
4000,2.0,DEGRAU
4200,2.0,DEGRAU
4400,2.6667,DEGRAU
4600,3.3333,DEGRAU
4800,5.3333,DEGRAU
5000,6.6667,DEGRAU
5200,7.3333,DEGRAU
5400,6.0,DEGRAU
5600,7.3333,DEGRAU
5800,9.3333,DEGRAU
6000,9.3333,DEGRAU
6200,8.6667,DEGRAU
6400,12.0,DEGRAU
6600,12.0,DEGRAU
6800,11.3333,DEGRAU
7000,11.3333,DEGRAU
7200,13.3333,DEGRAU
7400,12.0,DEGRAU
7600,14.0,DEGRAU
7800,14.0,DEGRAU
8000,15.3333,DEGRAU
8200,12.0,DEGRAU
8400,16.0,DEGRAU
8600,12.6667,DEGRAU
8800,15.3333,DEGRAU
9000,18.0,DEGRAU
9200,16.0,DEGRAU
9400,17.3333,DEGRAU
9600,15.3333,DEGRAU
9800,17.3333,DEGRAU
10000,15.3333,DEGRAU
10200,16.0,DEGRAU
10400,15.3333,DEGRAU
10600,16.0,DEGRAU
10800,16.0,DEGRAU
11000,16.0,DEGRAU
11200,15.3333,DEGRAU
11400,18.6667,DEGRAU
11600,18.0,DEGRAU
11800,14.6667,DEGRAU
12000,17.3333,DEGRAU
12200,18.6667,DEGRAU
12400,16.0,DEGRAU
12600,15.3333,DEGRAU
12800,15.3333,DEGRAU
13000,17.3333,DEGRAU
13200,18.0,DEGRAU
13400,14.0,DEGRAU
13600,18.0,DEGRAU
13800,18.0,DEGRAU
14000,15.3333,DEGRAU
14200,16.6667,DEGRAU
14400,18.0,DEGRAU
14600,16.0,DEGRAU
14800,18.0,DEGRAU
15000,16.0,DEGRAU
15200,16.0,DEGRAU
15400,20.6667,DEGRAU
15600,17.3333,DEGRAU
15800,15.3333,DEGRAU
16000,15.3333,DEGRAU
16200,18.0,DEGRAU
16400,18.0,DEGRAU
16600,16.0,DEGRAU
16800,18.6667,DEGRAU
17000,17.3333,DEGRAU
17200,14.6667,DEGRAU
17400,14.6667,DEGRAU
17600,19.3333,DEGRAU
17800,18.0,DEGRAU
18000,18.0,DEGRAU
18200,20.6667,DEGRAU
18400,15.3333,DEGRAU
18600,17.3333,DEGRAU
18800,14.0,DEGRAU
19000,16.0,DEGRAU
19200,17.3333,DEGRAU
19400,18.0,DEGRAU
19600,16.0,DEGRAU
19800,16.0,DEGRAU
20000,16.6667,DEGRAU
