temp_C,vazao_L_min,cooler_pct,resistencia
25.61,0.00,0,ON
25.34,0.00,0,ON
25.45,0.00,0,ON
25.41,0.00,0,ON
25.54,0.00,0,ON
25.63,0.00,0,ON
25.50,0.00,0,ON
25.45,0.00,0,ON
25.58,0.00,0,ON
25.61,0.00,0,ON
25.67,0.00,0,ON
25.78,0.00,0,ON
25.63,0.00,0,ON
25.98,0.00,0,ON
26.00,0.00,0,ON
26.07,0.00,0,ON
26.18,0.00,0,ON
26.27,0.00,0,ON
26.51,0.00,0,ON
26.60,0.00,0,ON
26.78,0.00,0,ON
26.76,0.00,0,ON
27.07,0.00,0,ON
27.00,0.00,0,ON
27.34,0.00,0,ON
27.47,0.00,0,ON
27.50,0.00,0,ON
27.52,0.00,0,ON
27.72,0.00,0,ON
27.90,0.00,0,ON
28.04,0.00,0,ON
28.13,0.00,0,ON
28.28,0.00,0,ON
28.51,0.00,0,ON
28.53,0.00,0,ON
28.69,0.00,0,ON
28.87,0.00,0,ON
29.12,0.00,0,ON
29.21,0.00,0,ON
29.31,0.00,0,ON
29.40,0.00,0,ON
29.60,0.00,0,ON
29.58,0.00,0,ON
29.85,0.00,0,ON
29.90,0.00,0,ON
30.04,0.00,0,ON
30.22,0.00,0,ON
30.36,0.00,0,ON
30.41,0.00,0,ON
30.59,0.00,0,ON
30.71,0.00,0,ON
30.82,0.00,0,ON
30.87,0.00,0,ON
31.01,0.00,0,ON
31.15,0.00,0,ON
31.27,0.00,0,ON
31.27,0.00,0,ON
31.38,0.00,0,ON
31.45,0.00,0,ON
31.55,0.00,0,ON
31.76,0.00,0,ON
31.81,0.00,0,ON
31.83,0.00,0,ON
31.99,0.00,0,ON
32.09,0.00,0,ON
32.11,0.00,0,ON
32.28,0.00,0,ON
32.40,0.00,0,ON
32.44,0.00,0,ON
32.47,0.00,0,ON
32.59,0.00,0,ON
32.56,0.00,0,ON
32.70,0.00,0,ON
32.75,0.00,0,ON
32.97,0.00,0,ON
32.85,0.00,0,ON
33.13,0.00,0,ON
33.09,0.00,0,ON
33.25,0.00,0,ON
33.16,0.00,0,ON
33.40,0.00,0,ON
33.37,0.00,0,ON
33.33,0.00,0,ON
33.47,0.00,0,ON
33.64,0.00,0,ON
33.52,0.00,0,ON
33.61,0.00,0,ON
33.81,0.00,0,ON
33.90,0.00,0,ON
33.81,0.00,0,ON
33.88,0.00,0,ON
34.00,0.00,0,ON
34.15,0.00,0,ON
34.12,0.00,0,ON
34.19,0.00,0,ON
