indice,temperatura_C,vazao_L_min,cooler_%,resistencia
1,25.85,0.0,0,ON
2,25.74,0.0,0,ON
3,25.74,0.0,0,ON
4,25.78,0.0,0,ON
5,25.76,0.0,0,ON
6,25.63,0.0,0,ON
7,25.8,0.0,0,ON
8,25.54,0.0,0,ON
9,25.85,0.07,0,ON
10,25.65,0.0,0,ON
11,25.89,0.0,0,ON
12,25.89,0.0,0,ON
13,25.92,0.0,0,ON
14,25.96,0.0,0,ON
15,26.03,0.0,0,ON
16,26.11,0.0,0,ON
17,25.94,0.0,0,ON
18,26.16,0.0,0,ON
19,26.05,0.0,0,ON
20,26.38,0.0,0,ON
21,26.34,0.0,0,ON
22,26.36,0.0,0,ON
23,26.4,0.0,0,ON
24,26.51,0.0,0,ON
25,26.69,0.0,0,ON
26,26.74,0.0,0,ON
27,26.76,0.0,0,ON
28,27.07,0.0,0,ON
29,27.23,0.0,0,ON
30,27.32,0.0,0,ON
31,27.27,0.0,0,ON
32,27.47,0.0,0,ON
33,27.72,0.0,0,ON
34,27.72,0.0,0,ON
35,27.77,0.0,0,ON
36,28.13,0.0,0,ON
37,28.13,0.0,0,ON
38,28.22,0.0,0,ON
39,28.33,0.0,0,ON
40,28.49,0.0,0,ON
41,28.8,0.0,0,ON
42,28.71,0.0,0,ON
43,28.96,0.0,0,ON
44,29.12,0.0,0,ON
45,29.24,0.0,0,ON
46,29.49,0.0,0,ON
47,29.65,0.0,0,ON
48,29.65,0.0,0,ON
49,29.85,0.0,0,ON
50,30.13,0.0,0,ON
51,30.06,0.0,0,ON
52,30.38,0.0,0,ON
53,30.55,0.0,0,ON
54,30.38,0.0,0,ON
55,30.71,0.0,0,ON
56,30.89,0.0,0,ON
57,31.1,0.0,0,ON
58,30.99,0.0,0,ON
59,31.27,0.0,0,ON
60,31.43,0.0,0,ON
61,31.43,0.0,0,ON
62,31.74,0.0,0,ON
63,31.9,0.0,0,ON
64,31.92,0.0,0,ON
65,32.02,0.0,0,ON
66,32.23,0.0,0,ON
67,32.3,0.0,0,ON
68,32.49,0.0,0,ON
69,32.54,0.0,0,ON
70,32.66,0.0,0,ON
71,32.87,0.0,0,ON
72,33.06,0.0,0,ON
73,33.09,0.0,0,ON
74,33.4,0.0,0,ON
75,33.37,0.0,0,ON
