timestamp,temperatura_C,vazao_L_min,cooler_%,resistencia
2026-02-26 22:02:09,30.55,0.0,100,OFF
2026-02-26 22:02:11,30.59,0.0,100,OFF
2026-02-26 22:02:13,30.43,0.0,100,OFF
2026-02-26 22:02:15,30.32,1.07,100,OFF
2026-02-26 22:02:17,30.25,6.07,100,OFF
2026-02-26 22:02:19,30.36,10.73,100,OFF
2026-02-26 22:02:21,30.18,12.73,100,OFF
2026-02-26 22:02:23,30.06,13.13,100,OFF
2026-02-26 22:02:25,29.74,13.33,100,OFF
2026-02-26 22:02:27,29.65,14.6,100,OFF
2026-02-26 22:02:29,29.72,14.0,100,OFF
2026-02-26 22:02:31,29.63,14.73,100,OFF
2026-02-26 22:02:33,29.4,15.07,100,OFF
2026-02-26 22:02:35,29.35,14.47,100,OFF
2026-02-26 22:02:37,29.31,15.4,100,OFF
2026-02-26 22:02:39,29.03,14.87,100,OFF
2026-02-26 22:02:41,29.03,15.0,100,OFF
2026-02-26 22:02:43,28.92,15.13,100,OFF
2026-02-26 22:02:45,28.71,15.4,100,OFF
2026-02-26 22:02:47,28.76,15.67,100,OFF
2026-02-26 22:02:49,28.69,16.27,100,OFF
2026-02-26 22:02:51,28.6,16.2,100,OFF
2026-02-26 22:02:53,28.56,15.93,100,OFF
2026-02-26 22:02:55,28.33,15.6,100,OFF
2026-02-26 22:02:57,28.31,15.53,100,OFF
2026-02-26 22:02:59,28.19,15.87,100,OFF
2026-02-26 22:03:01,28.17,15.27,100,OFF
2026-02-26 22:03:03,28.04,15.07,100,OFF
2026-02-26 22:03:05,28.04,15.6,100,OFF
2026-02-26 22:03:07,27.97,14.93,100,OFF
2026-02-26 22:03:09,27.86,15.2,100,OFF
2026-02-26 22:03:11,27.83,15.0,100,OFF
2026-02-26 22:03:13,27.61,14.6,100,OFF
2026-02-26 22:03:15,27.63,15.73,100,OFF
2026-02-26 22:03:17,27.74,14.93,100,OFF
2026-02-26 22:03:19,27.47,15.33,100,OFF
2026-02-26 22:03:21,27.56,14.53,100,OFF
2026-02-26 22:03:23,27.45,14.93,100,OFF
2026-02-26 22:03:25,27.43,14.33,100,OFF
2026-02-26 22:03:27,27.47,15.27,100,OFF
2026-02-26 22:03:29,27.25,15.07,100,OFF
2026-02-26 22:03:31,27.23,15.27,100,OFF
2026-02-26 22:03:33,27.18,14.47,100,OFF
2026-02-26 22:03:35,27.16,14.2,100,OFF
2026-02-26 22:03:37,27.0,14.13,100,OFF
2026-02-26 22:03:39,27.09,13.93,100,OFF
2026-02-26 22:03:41,27.03,14.53,100,OFF
2026-02-26 22:03:43,26.89,14.0,100,OFF
2026-02-26 22:03:45,26.78,14.27,100,OFF
2026-02-26 22:03:47,26.96,14.2,100,OFF
2026-02-26 22:03:49,26.91,14.53,100,OFF
2026-02-26 22:03:51,26.76,14.2,100,OFF
2026-02-26 22:03:53,26.76,14.0,100,OFF
2026-02-26 22:03:55,26.76,13.73,100,OFF
2026-02-26 22:03:57,26.6,14.0,100,OFF
2026-02-26 22:03:59,26.65,14.67,100,OFF
2026-02-26 22:04:01,26.67,13.93,100,OFF
2026-02-26 22:04:03,26.51,14.73,100,OFF
2026-02-26 22:04:05,26.51,14.73,100,OFF
2026-02-26 22:04:07,26.4,14.07,100,OFF
2026-02-26 22:04:09,26.43,14.13,100,OFF
2026-02-26 22:04:11,26.54,13.93,100,OFF
2026-02-26 22:04:13,26.38,13.8,100,OFF
2026-02-26 22:04:15,26.27,14.47,100,OFF
2026-02-26 22:04:17,26.34,13.33,100,OFF
2026-02-26 22:04:19,26.29,13.87,100,OFF
2026-02-26 22:04:21,26.27,14.47,100,OFF
2026-02-26 22:04:23,26.2,14.6,100,OFF
2026-02-26 22:04:25,26.11,13.53,100,OFF
2026-02-26 22:04:27,26.2,13.4,100,OFF
2026-02-26 22:04:29,25.98,14.33,100,OFF
2026-02-26 22:04:31,26.07,13.67,100,OFF
2026-02-26 22:04:33,26.25,13.0,100,OFF
2026-02-26 22:04:35,26.36,14.6,100,OFF
2026-02-26 22:04:37,26.07,13.6,100,OFF
2026-02-26 22:04:39,26.0,14.0,100,OFF
2026-02-26 22:04:41,26.07,14.0,100,OFF
2026-02-26 22:04:43,26.07,14.13,100,OFF
